Date,Open,High,Low,Close,Volume,Adj Close
2015-07-23,226.509995,228.970001,223.559998,224.100006,1119500,224.100006
2015-07-22,229.720001,230.00,222.770004,224.800003,1580000,224.800003
2015-07-21,230.279999,233.179993,228.00,231.050003,1333000,231.050003
2015-07-20,226.539993,232.50,226.199997,230.559998,2222700,230.559998
2015-07-17,225.119995,228.75,223.669998,224.949997,2466500,224.949997
2015-07-16,220.25,221.679993,218.740005,219.270004,1188000,219.270004
2015-07-15,218.210007,223.050003,216.860001,218.539993,2359900,218.539993
2015-07-14,212.830002,214.479996,212.589996,213.880005,833200,213.880005
2015-07-13,211.520004,213.869995,210.50,213.330002,996100,213.330002
2015-07-10,211.610001,212.240005,208.630005,209.949997,944600,209.949997
2015-07-09,207.470001,210.369995,207.440002,207.559998,893200,207.559998
2015-07-08,209.229996,209.75,204.779999,205.369995,1093300,205.369995
2015-07-07,208.679993,212.440002,203.610001,210.979996,2041600,210.979996
2015-07-06,205.380005,209.850006,205.139999,209.449997,1398200,209.449997
2015-07-02,208.00,208.75,207.059998,207.759995,790200,207.759995
2015-07-01,208.869995,209.259995,206.339996,207.960007,1313500,207.960007
2015-06-30,205.50,209.089996,204.979996,206.630005,1591500,206.630005
2015-06-29,210.00,211.050003,202.75,203.550003,2690000,203.550003
2015-06-26,217.559998,217.970001,215.240005,215.929993,836000,215.929993
2015-06-25,215.729996,218.00,215.550003,217.889999,777100,217.889999
2015-06-24,216.75,218.220001,215.259995,215.699997,793100,215.699997
2015-06-23,217.110001,218.270004,216.220001,217.309998,826800,217.309998
2015-06-22,217.279999,218.110001,215.089996,217.149994,790800,217.149994
2015-06-19,218.470001,218.470001,215.50,216.779999,1257200,216.779999
2015-06-18,215.910004,219.699997,215.910004,217.75,1211800,217.75
2015-06-17,217.979996,218.630005,214.020004,215.910004,1157800,215.910004
2015-06-16,215.529999,217.800003,215.210007,217.289993,979900,217.289993
2015-06-15,215.270004,217.110001,213.550003,215.75,989500,215.75
2015-06-12,217.320007,217.960007,214.830002,215.720001,938700,215.720001
2015-06-11,216.960007,218.279999,216.360001,217.949997,1089800,217.949997
2015-06-10,216.830002,218.619995,215.940002,216.699997,1719300,216.699997
2015-06-09,212.710007,219.639999,211.660004,216.830002,2485400,216.830002
2015-06-08,214.50,215.490005,211.369995,212.039993,1706000,212.039993
2015-06-05,215.00,216.929993,212.169998,213.800003,1811500,213.800003
2015-06-04,214.509995,217.210007,211.330002,212.830002,2680800,212.830002
2015-06-03,211.240005,215.460007,210.320007,213.25,4286900,213.25
2015-06-02,200.080002,207.429993,199.00,204.809998,3258700,204.809998
